x	f(x)

0	4.2706
0.1	3.97294
0.2	3.40468
0.3	4.46002
0.4	3.35056
0.5	3.3235
0.6	3.56704
0.7	3.53998
0.8	3.78352
0.9	3.21526
1	3.7302
1.1	3.73016
1.2	3.72972
1.3	3.72928
1.4	3.72964
1.5	3.7296
1.6	3.72996
1.7	3.72912
1.8	3.72908
1.9	3.72944
2	3.7309
2.1	3.72501
2.2	3.72862
2.3	3.72653
2.4	3.72824
2.5	3.72805
2.6	3.72976
2.7	3.72957
2.8	3.72558
2.9	3.73109
3	3.7271
3.1	4.52117
3.2	4.43294
3.3	2.58011
3.4	1.60958
3.5	3.28595
3.6	3.19772
3.7	1.34489
3.8	4.78586
3.9	1.16843
4	0.1622
4.1	5.25914
4.2	2.30828
4.6	3.91784
4.7	3.64958
5	0.1622
5.1	0.03557
5.2	0.15014
5.3	0.14411
5.4	0.13808
5.5	0.01145
5.6	0.06572
5.7	0.18029
5.9	0.04763
6	0.0972
6.1	0.09297
6.2	0.09344
6.3	0.10331
6.4	0.10848
6.5	0.09955
6.6	0.09532
6.7	0.10519
6.8	0.11506
6.9	0.11083
7.3	0.45597
7.6	0.04584
7.7	0.06103
7.8	0.38002
7.9	0.39521
8.1	0.0594
8.4	0.3671
8.5	0.53
8.6	0.3309
8.7	0.3128
8.8	0.2947
9.2	0.11382
9.3	0.01848
9.4	0.05934
9.5	0.0094
9.6	0.00486
9.7	0.04572
9.9	0.08204
10	0.0268
10.1	0.04217
10.2	0.02044
10.3	0.02521
10.4	0.01938
10.5	0.04005
10.6	0.02892
10.7	0.03369
10.8	0.02256
10.9	0.03263
11	0.015
11.1	0.00438
11.2	0.05276
11.3	0.03034
11.4	0.00792
11.5	0.0563
11.6	0.03388
11.7	0.04686
11.8	0.03624
11.9	0.03742
12	0.0503
12.1	0.06083
12.2	0.04796
12.3	0.04679
12.4	0.05732
12.5	0.03275
12.6	0.05498
12.7	0.00701
12.8	0.04094
12.9	0.02807
13	0.0481
13.1	0.04704
13.2	0.03538
13.3	0.00252
13.4	0.03326
13.5	0.0428
13.6	0.02054
13.7	0.03008
13.8	0.01842
13.9	0.01736
14	0.0163
14.1	0.01709
14.2	0.02578
14.3	0.02657
14.4	0.00366
14.5	0.03605
14.6	0.03684
14.7	0.02973
14.8	0.01472
14.9	0.03131
15	0.0242
15.1	0.01916
15.2	0.01972
15.3	0.01468
15.4	0.03204
15.5	0.0326
15.6	0.01636
15.7	0.02252
15.8	0.02868
15.9	0.01804
16	0.0524
16.1	0.00607
16.2	0.00494
16.3	0.02641
16.4	0.01398
16.5	0.01285
16.6	0.04562
16.7	0.03319
16.8	0.02076
16.9	0.04223
17	0.0232
17.1	0.02273
17.2	0.00816
17.3	0.02649
17.4	0.02132
17.5	0.02085
17.6	0.01098
17.7	0.00581
17.8	0.01004
17.9	0.00487
18.1	0.74229
18.2	0.43008
18.3	0.81167
18.4	0.49946
18.5	0.53415
18.7	0.60353
18.8	0.29132
18.9	0.32601
19	0.2395
19.1	0.22738
19.2	0.21526
19.3	0.20314
19.4	0.31222
19.5	0.4213
19.6	0.53038
19.7	0.27586
19.8	0.14254
19.9	0.00922
20.1	0.42283
20.2	0.60616
20.3	0.38209
20.4	0.56542
20.7	0.30061
21	0.8704
21.1	0.49483
21.2	0.95386
21.3	0.99559
21.4	1.03732
21.5	0.24445
21.8	0.78694
21.9	0.82867
22	0.0089
22.1	0.40868
22.5	1.1194
22.8	0.98614
22.9	0.49752
23	0.0093
23.1	0.00854
23.2	0.00978
23.3	0.00942
23.4	0.00986
23.5	0.0091
23.6	0.00914
23.7	0.00918
23.8	0.00962
23.9	0.00926
24	0.0154
24.1	0.02211
24.3	0.01113
24.4	0.01784
24.5	0.00625
24.6	0.00076
24.7	0.01967
24.8	0.00808
24.9	0.00869
25	0.0154
25.1	0.15169
25.2	0.02838
25.4	0.10626
25.6	0.05434
25.9	0.13871
26	0.0311
26.1	0.07784
26.2	0.02618
26.3	0.09752
26.4	0.09506
26.5	0.0434
26.6	0.06554
26.7	0.08768
26.8	0.08522
26.9	0.00896
27	0.0557
27.1	0.09854
27.2	0.04618
27.4	0.13186
27.5	0.0319
27.6	0.12234
27.7	0.11758
28.1	0.07806
28.3	0.15438
28.5	0.1035
28.6	0.04626
28.8	0.05898
29	0.0114
29.1	0.12597
29.2	0.05964
29.3	0.05361
29.4	0.04758
29.5	0.04155
29.8	0.08376
30	0.0184
30.2	0.003
30.3	0.0093
30.4	0.0226
30.5	0.0219
30.8	0.0128
30.9	0.0051
31	0.0052
31.1	0.00516
31.2	0.00392
31.3	0.00388
31.4	0.00344
31.5	0.0038
31.6	0.00336
31.7	0.00452
31.8	0.00408
31.9	0.00324
32	0.0046
32.1	0.00403
32.2	0.00376
32.3	0.00469
32.4	0.00442
32.5	0.00355
32.6	0.00418
32.7	0.00391
32.8	0.00394
32.9	0.00367
33	0.005
33.1	0.00437
33.2	0.00304
33.3	0.00591
33.4	0.00598
33.5	0.00395
33.6	0.00402
33.7	0.00409
33.8	0.00416
33.9	0.00563
34	0.0047
34.1	0.00557
34.2	0.00554
34.3	0.00461
34.4	0.00488
34.5	0.00455
34.6	0.00482
34.7	0.00539
34.8	0.00446
34.9	0.00503
35	0.0057
35.1	0.0036
35.2	0.0055
35.3	0.0044
35.4	0.0053
35.5	0.0022
35.6	0.0051
35.7	0.004
35.8	0.0019
35.9	0.0048
36	0.0033
36.1	0.00332
